Дата,Достоинства,Недостатки,Краткое содержание,Полный отзыв
30 мар 2024,Достоинства: Отличный,Недостатки: Нет,"Вообще сначала не хотела даже дебитовую карту заводить так как очень уж плохого слышала о данном банке и ужасно опасалась, но потом меня уговорили и я взяла дебетовую карту и не могла понять почему люди...","Вообще сначала не хотела даже дебитовую карту заводить так как очень уж плохого слышала о данном банке и ужасно опасалась, но потом меня уговорили и я взяла дебетовую карту и не могла понять почему люди..."
30 мар 2024,"Достоинства: Удобство, качество обслуживания, кешбэк",Недостатки: Не выявил,"Пользовался многими банками но Тинькофф, удивил. Помня многолетнюю репутацию банка с самым большим процентом и просто кидалом. Уже 1,5 года, пользуюсь как частно так и как предприниматель. Удобство, простота и обратная связь банка, впечатляет. По...","Пользовался многими банками но Тинькофф, удивил. Помня многолетнюю репутацию банка с самым большим процентом и просто кидалом. Уже 1,5 года, пользуюсь как частно так и как предприниматель. Удобство, простота и обратная связь банка, впечатляет. По..."
29 мар 2024,Достоинства: Скорость   Выгода   Простота,Недостатки: Нету !,"Произошло ДТП, была оформлена страховка осаго Тинькофф(номер 0318788764), такой оперативности решения проблемы я не ожидала, потрясающая менеджер Алина, помогла на все 100%! Оперативно помогла скорректировать сумму выплаты, высший уровень ! Всем советую страховку от Тинькофф,","Произошло ДТП, была оформлена страховка осаго Тинькофф(номер 0318788764), такой оперативности решения проблемы я не ожидала, потрясающая менеджер Алина, помогла на все 100%! Оперативно помогла скорректировать сумму выплаты, высший уровень ! Всем советую страховку от Тинькофф,"
29 мар 2024,Достоинства: есть депозит,Недостатки: нет,"Реклама на которую повелась ввела в заблуждение. Оказывается карту можно оформить и онлайн, не обязательно идти в банк. Качественное обслуживание, активные сотрудники, интересные предложения продуктов банка. Спасибо вам!","Реклама на которую повелась ввела в заблуждение. Оказывается карту можно оформить и онлайн, не обязательно идти в банк. Качественное обслуживание, активные сотрудники, интересные предложения продуктов банка. Спасибо вам!"
29 мар 2024,"Достоинства: Надежный, прибыльный",Недостатки: нету,"Данным банком начал пользоваться относительно недавно, буквально пару месяцев назад и мне уже нравится, очень интересная система кэшбеков, которая не может не радовать, постоянные акции и предложения;","Данным банком начал пользоваться относительно недавно, буквально пару месяцев назад и мне уже нравится, очень интересная система кэшбеков, которая не может не радовать, постоянные акции и предложения;"
29 мар 2024,Достоинства: Удобно и понятно,Недостатки: Не нашла,"Имею карту банка Тинькофф и дочке тоже заказала Тинькофф джуниор. Вижу, где расплачивается и что покупает. Интересные предложения каждый месяц. Проект инвестирования неплохой. Кэшбек за покупки. За рекомендацию и оформление карты другу денежный бонус, что","Имею карту банка Тинькофф и дочке тоже заказала Тинькофф джуниор. Вижу, где расплачивается и что покупает. Интересные предложения каждый месяц. Проект инвестирования неплохой. Кэшбек за покупки. За рекомендацию и оформление карты другу денежный бонус, что"
28 мар 2024,"Достоинства: 1. Иннов-ые технологии - Тинькофф банк использует современные тех.: чат-бот, мобильноное приложение и многое др. 2. Широкий выбор продуктов","Недостатки: 1. Высокие комиссии - многие клиенты на это жалуются (я нет), 2. Сеть отделений - их очень мало, т. к. Тинькофф рассчитывается на онлайн-обслуживание.","Тиньков банк - удобный и современный банк с хорошим мобильным приложением, простым интерфейсом. Высокий уровень безопасности и оперативное обслуживание. В целом, надежный партнер для финансовых вопросов. Также хочу отметить, что сотрудники Тинькофф банка очень приятные","Тиньков банк - удобный и современный банк с хорошим мобильным приложением, простым интерфейсом. Высокий уровень безопасности и оперативное обслуживание. В целом, надежный партнер для финансовых вопросов. Также хочу отметить, что сотрудники Тинькофф банка очень приятные"
28 мар 2024,"Достоинства: Быстрое одобрение, много возможностей и плюсов. Постепенная оплата.",Недостатки: Из минусов ничего не нашел,"Приветствую всех, кто читает данный отзыв. Хочу поблагодарить Тинькофф Банк за такую великолепную возможность «рассрочка». Расскажу ситуацию: у меня на квартире был ремонт, а с деньгами не очень выходило. Поэтому я решил взять рассрочку Тинькофф...","Приветствую всех, кто читает данный отзыв. Хочу поблагодарить Тинькофф Банк за такую великолепную возможность «рассрочка». Расскажу ситуацию: у меня на квартире был ремонт, а с деньгами не очень выходило. Поэтому я решил взять рассрочку Тинькофф..."
28 мар 2024,"Достоинства: Лучший, надежный банк. Очень удобное и интересное приложение. Много акций всегда, скидок","Недостатки: Минус только, что кредит именно мне не даёт.","Самый лучший банк в стране по моему мнению! Интересное приложение! Много акций всегда! С большим удовольствием пользуюсь картой данного банка во всех магазинах, интернет-магазинах, оплачивают счета ЖКХ.","Самый лучший банк в стране по моему мнению! Интересное приложение! Много акций всегда! С большим удовольствием пользуюсь картой данного банка во всех магазинах, интернет-магазинах, оплачивают счета ЖКХ."
27 мар 2024,"Достоинства: Отличный банк, вежливые сотрудники, понятный интерфейс приложения.",Недостатки: нет,"Всегда пользовалась картами Тинькофф, но никогда не задумывалась где можно посмотреть комиссию за переводы. 27.03.2024 в 19:40 я обратилась в тех-поддержку Тинькофф банка с вопросом о переводах у моей дебетовой карты. Мне ответил сотрудник Георгий...","Всегда пользовалась картами Тинькофф, но никогда не задумывалась где можно посмотреть комиссию за переводы. 27.03.2024 в 19:40 я обратилась в тех-поддержку Тинькофф банка с вопросом о переводах у моей дебетовой карты. Мне ответил сотрудник Георгий..."
27 мар 2024,"Достоинства: Лёгкий и удобный способ применения. Идеально открывать счета и делать вклады, удобное приложение, приветливые сотрудники банка, не навязчивые",Недостатки: Связь и интернет,"Пользуюсь банком Тинькофф довольно долго, ""то могу сказать, есть здесь как плюсы, так и минусы. Например: Брала кредит наличными, тут ничего не могу сказать плохого, всё очень даже хорошо, скажем прекрасно. Небольшие проценты и много...","Пользуюсь банком Тинькофф довольно долго, ""то могу сказать, есть здесь как плюсы, так и минусы. Например: Брала кредит наличными, тут ничего не могу сказать плохого, всё очень даже хорошо, скажем прекрасно. Небольшие проценты и много..."
27 мар 2024,"Достоинства: Кэшбек, разные скидки в магазинах.",Недостатки: Не нашел.,"Перевел зарплату на этот банк. Карту оформил через приложение на телефоне. На вопросы служба поддержки ответила быстро, помогли уладить проблемы по приложению. Карту привезли в назначенный день, очень надушенный духами парень. Пользоваться удобно, коплю кэшбек,","Перевел зарплату на этот банк. Карту оформил через приложение на телефоне. На вопросы служба поддержки ответила быстро, помогли уладить проблемы по приложению. Карту привезли в назначенный день, очень надушенный духами парень. Пользоваться удобно, коплю кэшбек,"
27 мар 2024,Достоинства: Очень удобный и простой в использовании личный кабинет.,Недостатки: Минусов у банка Тинькофф нет!,"Здравствуйте! Хотела бы написать о банке Тинькофф. По моему мнению это самый лучший банк, так как у банка Тинькофф очень хороший кэшбэк. И повышенный кэшбэк всегда в самых нужных магазинах и приложениях. Очень хорошая поддержка...","Здравствуйте! Хотела бы написать о банке Тинькофф. По моему мнению это самый лучший банк, так как у банка Тинькофф очень хороший кэшбэк. И повышенный кэшбэк всегда в самых нужных магазинах и приложениях. Очень хорошая поддержка..."
27 мар 2024,Достоинства: ФССП не снимают и не кладут арест,Недостатки: Нету,"Всем Здравствуйте. Хотел бы порекомендовать лучший банк ТИНЬКОФФ, на мой взгляд это лучший банк России, мы с женой пользуемся только им, ведь ему можно доверять! Благодаря ему наши кровные деньги остаются у нас без какого...","Всем Здравствуйте. Хотел бы порекомендовать лучший банк ТИНЬКОФФ, на мой взгляд это лучший банк России, мы с женой пользуемся только им, ведь ему можно доверять! Благодаря ему наши кровные деньги остаются у нас без какого..."
27 мар 2024,"Достоинства: Бесплатное обслуживание,кэшбэк,не нужно стоять в очередях и многое другое",Недостатки: Нету,"Здравствуйте! Около года мы с супругом являемся клиентами банка Тинькофф. И с уверенностью могу сказать что это тот банк, который делает все для удобства своих клиентов, учитывая их предпочтения. Не нужно топать в банк и...","Здравствуйте! Около года мы с супругом являемся клиентами банка Тинькофф. И с уверенностью могу сказать что это тот банк, который делает все для удобства своих клиентов, учитывая их предпочтения. Не нужно топать в банк и..."
27 мар 2024,Достоинства: Хороший кэшбэк,Недостатки: Не обнаружено,"Хочу поделиться своим опытом использования дебетовой и кредитной карт Тинькофф банка. Сначала я долго боялась оформлять, потому что в нашем городе нет офиса Тинькофф банка (только обратиться можно в онлайн чате). Решила рискнуть, потому что...","Хочу поделиться своим опытом использования дебетовой и кредитной карт Тинькофф банка. Сначала я долго боялась оформлять, потому что в нашем городе нет офиса Тинькофф банка (только обратиться можно в онлайн чате). Решила рискнуть, потому что..."
26 мар 2024,"Достоинства: Высокий кешбэк, удобное приложение где можно взять кредит или хранить свои средства","Недостатки: Не обноружено, все супер","При оформлении бесплатно привезли карту на следующий день, оформили сим карту бесплатно с выгодными условиями, высокий кешбэк, поддержка 24/7;","При оформлении бесплатно привезли карту на следующий день, оформили сим карту бесплатно с выгодными условиями, высокий кешбэк, поддержка 24/7;"
26 мар 2024,"Достоинства: Кэшбэк на все товары.  Бесплатное открытие вкладов, накопительных счетов.  Возможность инвестировать.","Недостатки: Не обнаружил, всем доволен.","Здравствуйте, хотел бы порекомендовать вам Тинькофф банк - самый удобный и выгодный на сегодняшний день. Пользуюсь сам почти год и очень доволен обслуживанием, никакими банками более не пользуюсь. Некоторые бонусы при пользовании банком: -При оформлении...","Здравствуйте, хотел бы порекомендовать вам Тинькофф банк - самый удобный и выгодный на сегодняшний день. Пользуюсь сам почти год и очень доволен обслуживанием, никакими банками более не пользуюсь. Некоторые бонусы при пользовании банком: -При оформлении..."
26 мар 2024,Достоинства: Приятно получать кэшбэк за то что ты просто пользуешься картой Тинькофф,Недостатки: Не оказалось,"Лучший российский коммерческий банк, сфокусированный полностью на дистанционном обслуживании, не имеющий розничных отделений. У данного банка есть и бонусы и кэшбэк, который ежемесячно начисляются на счёт. Ежемесячно можно выбирать категории для начисления кэшбэк!","Лучший российский коммерческий банк, сфокусированный полностью на дистанционном обслуживании, не имеющий розничных отделений. У данного банка есть и бонусы и кэшбэк, который ежемесячно начисляются на счёт. Ежемесячно можно выбирать категории для начисления кэшбэк!"
26 мар 2024,Достоинства: Кэшбэки,Недостатки: Нет,Дорогие друзья хочу вам предложить банк Тинькофф удобно пользоваться и всегда есть кэшбэки. Всегда есть скидки почти на все товары. А также удобно интернет-банк и есть инвестиции Тинькофф. И в подарок идёт кошелёк.,Дорогие друзья хочу вам предложить банк Тинькофф удобно пользоваться и всегда есть кэшбэки. Всегда есть скидки почти на все товары. А также удобно интернет-банк и есть инвестиции Тинькофф. И в подарок идёт кошелёк.
